gene_name,gene_id
LOC107055319,ncbi_107055319
LOC107055361,ncbi_107055361
LOC107055485,ncbi_107055485
LOC107055677,ncbi_107055677
LOC107055678,ncbi_107055678
LOC107056921,ncbi_107056921
LOC112529960,ncbi_112529960
LOC112529985,ncbi_112529985
LOC112530130,ncbi_112530130
LOC112530287,ncbi_112530287
LOC112530332,ncbi_112530332
LOC112531119,ncbi_112531119
LOC112531280,ncbi_112531280
LOC112531377,ncbi_112531377
LOC112531378,ncbi_112531378
LOC112531384,ncbi_112531384
LOC112531552,ncbi_112531552
LOC112531693,ncbi_112531693
LOC112531724,ncbi_112531724
LOC112531899,ncbi_112531899
LOC112532141,ncbi_112532141
LOC112532617,ncbi_112532617
LOC112532725,ncbi_112532725
LOC112532784,ncbi_112532784
LOC112533211,ncbi_112533211
LOC112533356,ncbi_112533356
LOC112533547,ncbi_112533547
LOC414835,ncbi_414835
LOC415756,ncbi_415756
LOC415780,ncbi_415780
LOC416147,ncbi_416147
LOC417973,ncbi_417973
LOC418108,ncbi_418108
LOC418423,ncbi_418423
LOC420486,ncbi_420486
LOC421506,ncbi_421506
LOC423462,ncbi_423462
LOC427369,ncbi_427369
LOC769884,ncbi_769884
LOC770762,NA
LOC771422,ncbi_771422
LOC772080,ncbi_772080
LOC772243,ncbi_772243
LOC776275,ncbi_776275
LOXL4,ncbi_769927
LPGAT1,NA
LPIN2,NA
LPL,NA
LPP,NA
LPXN,ncbi_423129
LRMP,ncbi_418205
LRP4,ncbi_423189
LRRC25,ncbi_107055369
LRRC31,ncbi_424994
LRRC32,ncbi_428121
LTBP2,ncbi_428888
LTC4S,NA
LTK,NA
LY6E,ncbi_395550
LY96,NA
LYGL,ncbi_418700
LYZ,NA
M6PRBP1,NA
MAD2L1BP,NA
MAFB,NA
MAFF,NA
MAFG,NA
MAFK,NA
MALL,NA
MAML1,NA
MAML2,ncbi_428088
MANSC1,NA
MAP1A,NA
MAP1B,NA
MAP2K1,NA
MAP2K2,NA
MAP3K1,NA
MAP3K14,NA
MAP3K5,NA
MAP3K7IP1,NA
MAP3K8,NA
MAPRE1,NA
MARCKSL1,NA
MASTL,NA
MATR3,NA
MB21D2,ncbi_424905
MBL2,NA
MC2R,NA
MCAM,NA
MCF2L2,ncbi_424959
MCFD2,NA
MCL1,NA
MCM3,NA
MCM4,NA
MCM6,NA
MCOLN2,NA
MCTP1,ncbi_427113
MDGA2,ncbi_423563
MDM2,ncbi_395609
ME1,NA
MED15,NA
MEGF11,ncbi_415545
MEIKIN,ncbi_771537
MEIS2,NA
MEOX1,NA
MERTK,NA
METAP2,NA
METTL11B,ncbi_429066
MFAP1,NA
MGP,NA
MGST1,NA
MGST2,NA
MICALL2,NA
MINPP1,NA
MITD1,ncbi_418698
MKI67,NA
MLF1,NA
MLF2,NA
MME,NA
MMP23B,NA
MMP9,NA
MOV10,ncbi_419872
MPO,NA
MPST,NA
MRPL12,NA
MRPL19,NA
MRPL23,NA
MRPL32,NA
MRPS21,NA
MST1,NA
MSX2,NA
MT3,NA
MTF2,NA
MTHFD1,NA
MTMR3,NA
MTTP,NA
MUC2,ncbi_423101
MVP,NA
MX1,ncbi_395313
MXD1,NA
MYB,NA
MYBL1,NA
MYBL2,NA
MYC,NA
MyD88,NA
MYD88,NA
MYH10,NA
MYH1E,ncbi_427788
MYH1G,ncbi_427789
MYL1,NA
MYLK,NA
MYO1F,NA
MYO9A,ncbi_101748321
MYOM2,NA
N4BP1,NA
NABP1,ncbi_424046
NACC2,ncbi_417128
NAMPT,ncbi_417707
NAP1L1,NA
NARS,NA
NAV3,ncbi_417869
NBN,ncbi_374246
NCBP1,NA
NCDN,NA
NCF1,NA
NCF2,NA
NCKAP5,ncbi_424283
NCL,NA
NCOA3,NA
NDC80,NA
NDUFV2,NA
NEK2,NA
NET1,NA
NEURL1B,ncbi_427626
NEUROD6,ncbi_420754
NF2,NA
NFIL3,NA
NFKB2,NA
NFKBIA,NA
NGFB,NA
NID2,ncbi_423583
NIPA2,NA
NKTR,NA
NLRC5,ncbi_100857413
NMI,ncbi_424314
NONO,NA
NOS2,NA
NOS2A,NA
NOTCH2,NA
NOX4,ncbi_419012
NPAL1,NA
NPAS2,NA
NPAS3,ncbi_423315
NPM1,NA
NPM2,ncbi_107050133
NPM3,ncbi_770430
NR1D2,NA
NR3C1,NA
NR4A3,ncbi_420896
NR6A1,NA
NRBP1,NA
NRG1,NA
NRIP1,NA
NSDHL,NA
NSF,NA
NSUN7,ncbi_422782
NT5C3,NA
NT5C3B,ncbi_420034
NTNG2,ncbi_417171
NUAK2,NA
NUB1,ncbi_420433
NUBP1,NA
NUDT13,ncbi_423703
NUDT2,NA
NUFIP2,NA
NUMA1,NA
NUP107,NA
NUP153,NA
NUP205,NA
NUP210L,ncbi_426146
NUP214,NA
NUP50,NA
NUP88,NA
NUTF2,NA
OASL,NA
OAT,NA
ODC1,NA
OGFR,ncbi_428150
OGT,NA
OLFML1,ncbi_428842
OPRL1,NA
OPRM1,ncbi_421644
OPTN,NA
ORM1,ncbi_395220
OSMR,NA
OTP,ncbi_554220
OTUD4,NA
P2RX5,ncbi_395507
P2RX7,ncbi_771952
P2RY14,NA
P2RY6,NA
P4HA1,NA
PABPC1,NA
PABPC4,NA
PAFAH1B2,NA
PAK2,NA
PAK5,ncbi_416734
PALM2,NA
PANX1,ncbi_772164
PANX2,ncbi_426934
PAPD4,NA
PAQR9,ncbi_100858936
PARP1,NA
PARP12,ncbi_418100
PARP14,ncbi_101747378
PARP4,NA
PARP9,ncbi_424269
PARVG,NA
PASK,NA
PATL2,ncbi_415327
PAX6,NA
PCBP2,NA
PCCB,NA
PCDH7,NA
PCGF5,ncbi_423796
PCMT1,NA
PCNA,NA
PCP4,NA
PCTK2,NA
PDE9A,ncbi_418538
PDGFA,NA
PDGFRA,ncbi_395509
PDGFRL,NA
PDIA6,NA
PDK1,NA
PDK4,ncbi_420570
PDLIM3,NA
PDSS2,NA
PECAM1,NA
PEPCK-M,NA
PFKFB3,NA
PGD,NA
PGK1,NA
PGS1,NA
PHF11,NA
PHF15,NA
PHIP,NA
PHLDA1,ncbi_107052797
PHYHIP,ncbi_112530160
PI15,NA
PI4K2B,NA
PIAS1,NA
PIGA,ncbi_418624
PIGH,NA
PIGK,NA
PIGR,NA
PIGT,NA
PIK3R1,NA
PIK3R5,NA
PITX1,NA
PITX2,NA
PKD1,NA
PKN2,NA
PKP4,NA
PLAC8,NA
PLCB1,ncbi_427687
PLCD1,NA
PLCXD1,ncbi_418673
PLCZ1,NA
PLEK,ncbi_395669
PLEKHC1,NA
PLEKHO1,NA
PLK2,ncbi_427150
PLOD2,NA
PLS3,NA
PLSCR1,NA
PLVAP,ncbi_100857417
PLXNB2,NA
PMCH,NA
PML,ncbi_415302
PMM2,NA
PMP22,NA
PMPCB,NA
PNN,NA
PNPLA2,NA
PNPT1,NA
PNRC1,NA
POLD3,NA
POLD4,ncbi_112532567
POLG,NA
POLR2B,NA
POLR2C,NA
POLR2F,NA
POLR2H,NA
POLR2I,NA
POLR2K,NA
POLR3F,NA
PON2,NA
POPDC2,ncbi_404229
POSTN,ncbi_395429
POU2AF1,ncbi_373994
PPAP2B,NA
PPARG,NA
PPIB,NA
PPID,NA
PPM1B,NA
PPM1J,ncbi_419873
PPM1K,NA
PPP1CB,NA
PPP1R10,NA
PPP1R2,NA
PPP1R3E,ncbi_395787
PPP2R2A,NA
Ppp3ca,NA
PPP3CA,NA
PPT1,NA
PRDX4,NA
PRF1,NA
PRIC285,NA
PRIM2,NA
PRKAA1,NA
PRKAG1,NA
PRKAG2,NA
PRKAR1A,NA
PRKCI,NA
PRKDC,NA
PRKRIR,NA
PRL,NA
PRNP,NA
PROCR,NA
PROX1,ncbi_395802
PRPF18,NA
PRPF8,NA
PRPS2,NA
PRRX2,ncbi_396314
PSMA2,NA
PSMA3,NA
PSMA4,NA
PSMA7,NA
PSMB1,NA
PSMB2,NA
PSMC1,NA
PSMC2,NA
PSMC3,NA
PSMC6,NA
PSMD1,NA
PSME4,NA
PSTPIP1,NA
PTCH1,NA
PTCHD3L,ncbi_101750175
PTDSS2,NA
PTGES,NA
PTGS2,NA
PTP4A2,NA
PTPN1,NA
